Date,gross_return,net_return,turnover,tcost
2014-03-24,-0.006510664097192789,-0.006510664097192789,0.0,0.0
2014-03-25,0.004365593091737938,0.004365593091737938,0.0,0.0
2014-03-26,-0.01663571788923775,-0.01663571788923775,0.0,0.0
2014-03-27,-0.0074395924169267805,-0.0074395924169267805,0.0,0.0
2014-03-28,0.0022683816001996667,0.0022683816001996667,0.0,0.0
2014-03-31,0.018529835052227096,0.018529835052227096,0.0,0.0
2014-04-01,0.01674967099336784,0.016607149672076296,0.14252132129154488,0.00014252132129154486
2014-04-02,0.0027088238677324024,0.0027088238677324024,0.0,0.0
2014-04-03,-0.003716467190426419,-0.003716467190426419,0.0,0.0
2014-04-04,-0.020517574157809103,-0.020517574157809103,0.0,0.0
2014-04-07,-0.021136582455489123,-0.021136582455489123,0.0,0.0
2014-04-08,0.0044007389963169954,0.0044007389963169954,0.0,0.0
2014-04-09,0.013285026891795532,0.013285026891795532,0.0,0.0
2014-04-10,-0.025617300715555933,-0.025617300715555933,0.0,0.0
2014-04-11,-0.011510213921353492,-0.011510213921353492,0.0,0.0
2014-04-14,0.003077949996025264,0.003077949996025264,0.0,0.0
2014-04-15,0.003451615258622676,0.003451615258622676,0.0,0.0
2014-04-16,0.014806123826131565,0.014806123826131565,0.0,0.0
2014-04-17,0.0041913090267939315,0.0041913090267939315,0.0,0.0
2014-04-21,0.0020400106008494788,0.0020400106008494788,0.0,0.0
2014-04-22,0.008210478419518276,0.008210478419518276,0.0,0.0
2014-04-23,-0.003279524055843489,-0.003279524055843489,0.0,0.0
2014-04-24,0.003889489110449432,0.003889489110449432,0.0,0.0
2014-04-25,-0.01477730085885266,-0.01477730085885266,0.0,0.0
2014-04-28,-0.0049029585705996906,-0.0049029585705996906,0.0,0.0
2014-04-29,0.001101498024176713,0.001101498024176713,0.0,0.0
2014-04-30,0.0011610942688316417,0.0011610942688316417,0.0,0.0
2014-05-01,-0.001444031365634137,-0.0015917876533868597,0.14775628775272276,0.00014775628775272277
2014-05-02,0.003044312049200067,0.003044312049200067,0.0,0.0
2014-05-05,-0.002178000911217568,-0.002178000911217568,0.0,0.0
2014-05-06,-0.014558192889672368,-0.014558192889672368,0.0,0.0
2014-05-07,0.001709071205954136,0.001709071205954136,0.0,0.0
2014-05-08,-0.006784149642999977,-0.006784149642999977,0.0,0.0
2014-05-09,0.009722631450316144,0.009722631450316144,0.0,0.0
2014-05-12,0.025765763766832282,0.025765763766832282,0.0,0.0
2014-05-13,-0.009464631484089986,-0.009464631484089986,0.0,0.0
2014-05-14,-0.013071116620246691,-0.013071116620246691,0.0,0.0
2014-05-15,-0.005293559381112542,-0.005293559381112542,0.0,0.0
2014-05-16,-0.0016258544694175041,-0.0016258544694175041,0.0,0.0
2014-05-19,0.008042268774411474,0.008042268774411474,0.0,0.0
2014-05-20,-0.013413233500139336,-0.013413233500139336,0.0,0.0
